"","trimestre","alcance","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"1",2010-02-01,"Tarapacá",10123.9177177964,150977.848612994,140853.930895198,223264,27166.102147105,168020.033042303,6.7,67.6,63.1,16.2
"2",2010-03-01,"Tarapacá",11020.8571022752,151040.299840401,140019.442738126,223748,26673.902590007,166693.345328133,7.3,67.5,62.6,16
"3",2010-04-01,"Tarapacá",7864.8129769509,148318.557955936,140453.744978985,224255,22834.8109589478,163288.555937933,5.3,66.1,62.6,14
"4",2010-05-01,"Tarapacá",7316.20579553992,149728.951435905,142412.745640365,224727,22258.8161106503,164671.561751015,4.9,66.6,63.4,13.5
"5",2010-06-01,"Tarapacá",7686.72368937093,150260.700886303,142573.977196932,225218,23634.2990611303,166208.276258062,5.1,66.7,63.3,14.2
"6",2010-07-01,"Tarapacá",8424.72106882806,155225.947610088,146801.22654126,225701,23894.9615537198,170696.18809498,5.4,68.8,65,14
"7",2010-08-01,"Tarapacá",8251.6310625053,156071.404924397,147819.773861892,226204,22230.5135730069,170050.287434898,5.3,69,65.3,13.1
"8",2010-09-01,"Tarapacá",7973.19018024003,156076.930963432,148103.740783192,226679,22102.0427676309,170205.783550823,5.1,68.9,65.3,13
"9",2010-10-01,"Tarapacá",7088.09769178926,155796.545549581,148708.447857792,227193,20601.1935441872,169309.641401979,4.5,68.6,65.5,12.2
"10",2010-11-01,"Tarapacá",7524.28086597722,152790.116830324,145265.835964347,227670,22337.3381138029,167603.17407815,4.9,67.1,63.8,13.3
"11",2010-12-01,"Tarapacá",7779.15084339364,153113.603814271,145334.452970877,228193,22168.0092584868,167502.462229364,5.1,67.1,63.7,13.2
"12",2011-01-01,"Tarapacá",7788.28542830465,151789.730769718,144001.445341413,228677,23190.6361456811,167192.081487094,5.1,66.4,63,13.9
"13",2011-02-01,"Tarapacá",7328.31190153309,152787.557098241,145459.245196708,229180,22370.711668563,167829.956865271,4.8,66.7,63.5,13.3
"14",2011-03-01,"Tarapacá",7671.99120126029,152607.96047467,144935.969273409,229672,20904.0397037792,165840.008977189,5,66.4,63.1,12.6
"15",2011-04-01,"Tarapacá",7320.02659463384,154749.453607225,147429.427012591,230173,17707.4234159512,165136.850428542,4.7,67.2,64.1,10.7
"16",2011-05-01,"Tarapacá",8157.51519876819,153352.320149638,145194.80495087,230663,18351.9512237586,163546.756174628,5.3,66.5,62.9,11.2
"17",2010-02-01,"Antofagasta",19757.5678629648,273055.125282483,253297.557419518,429316.00000473,35639.502501178,288937.059920696,7.2,63.6,59,12.3
"18",2010-03-01,"Antofagasta",17358.7885947317,269147.868201402,251789.07960667,429952.000005034,32203.1586401383,283992.238246808,6.4,62.6,58.6,11.3
"19",2010-04-01,"Antofagasta",17131.1582152713,270208.961290904,253077.803075632,430608.000095473,30720.2154377309,283798.018513363,6.3,62.8,58.8,10.8
