"","trimestre","alcance","sexo","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"1",2010-02-01,"Tarapacá",1,4410.81766800082,89497.7846948688,85086.9670268679,113358,10019.1516124917,95106.1186393597,4.9,79,75.1,10.5
"2",2010-02-01,"Tarapacá",2,5713.10004979554,61480.0639181256,55766.9638683301,109906,17146.9505346132,72913.9144029433,9.3,55.9,50.7,23.5
"3",2010-03-01,"Tarapacá",1,4818.74646622136,89861.6589151245,85042.9124489032,113597,10078.0602252952,95120.9726741984,5.4,79.1,74.9,10.6
"4",2010-03-01,"Tarapacá",2,6202.11063605388,61178.6409252765,54976.5302892226,110151,16595.8423647118,71572.3726539344,10.1,55.5,49.9,23.2
"5",2010-04-01,"Tarapacá",1,4161.72659150217,87281.8859757687,83120.1593842666,113844,8601.95199241894,91722.1113766855,4.8,76.7,73,9.4
"6",2010-04-01,"Tarapacá",2,3703.08638544873,61036.6719801676,57333.5855947188,110411,14232.8589665289,71566.4445612477,6.1,55.3,51.9,19.9
"7",2010-05-01,"Tarapacá",1,3289.75556096014,88917.9747914111,85628.219230451,114077,8248.14552422555,93876.3647546765,3.7,77.9,75.1,8.8
"8",2010-05-01,"Tarapacá",2,4026.45023457979,60810.9766444937,56784.5264099139,110650,14010.6705864248,70795.1969963386,6.6,55,51.3,19.8
"9",2010-06-01,"Tarapacá",1,3324.65837918022,88102.799490745,84778.1411115648,114320,9381.20205418017,94159.343165745,3.8,77.1,74.2,10
"10",2010-06-01,"Tarapacá",2,4362.0653101907,62157.901395558,57795.8360853673,110898,14253.0970069501,72048.9330923174,7,56,52.1,19.8
"11",2010-07-01,"Tarapacá",1,3357.35033809005,90896.2731161161,87538.922778026,114563,9717.40368529984,97256.3264633259,3.7,79.3,76.4,10
"12",2010-07-01,"Tarapacá",2,5067.37073073801,64329.6744939722,59262.3037632342,111138,14177.55786842,73439.8616316542,7.9,57.9,53.3,19.3
"13",2010-08-01,"Tarapacá",1,3780.54902495395,92199.1441956097,88418.5951706558,114810,8721.4138373446,97140.0090080004,4.1,80.3,77,9
"14",2010-08-01,"Tarapacá",2,4471.08203755135,63872.2607287871,59401.1786912358,111394,13509.0997356623,72910.2784268981,7,57.3,53.3,18.5
"15",2010-09-01,"Tarapacá",1,3991.39697579168,92953.873976425,88962.4770006333,115038,8707.03419548951,97669.5111961229,4.3,80.8,77.3,8.9
"16",2010-09-01,"Tarapacá",2,3981.79320444834,63123.0569870068,59141.2637825585,111641,13395.0085721414,72536.2723546999,6.3,56.5,53,18.5
"17",2010-10-01,"Tarapacá",1,4268.10397361653,92480.9563686156,88212.8523949991,115288,8614.86328608856,96827.7156810876,4.6,80.2,76.5,8.9
"18",2010-10-01,"Tarapacá",2,2819.99371817273,63315.5891809659,60495.5954627932,111905,11986.3302580986,72481.9257208918,4.5,56.6,54.1,16.5
"19",2010-11-01,"Tarapacá",1,3693.28563844126,90850.6434700453,87157.357831604,115528,9452.77956545954,96610.1373970635,4.1,78.6,75.4,9.8
"20",2010-11-01,"Tarapacá",2,3830.99522753596,61939.4733602786,58108.4781327426,112142,12884.5585483434,70993.036681086,6.2,55.2,51.8,18.1
"21",2010-12-01,"Tarapacá",1,4159.54861887897,91406.8639392902,87247.3153204112,115780,9692.05096957671,96939.3662899879,4.6,78.9,75.4,10
"22",2010-12-01,"Tarapacá",2,3619.60222451466,61706.7398749809,58087.1376504662,112413,12475.9582889101,70563.0959393763,5.9,54.9,51.7,17.7
"23",2011-01-01,"Tarapacá",1,3996.98163965824,91454.500405452,87457.5187657938,116016,9644.24630824663,97101.7650740404,4.4,78.8,75.4,9.9
"24",2011-01-01,"Tarapacá",2,3791.3037886464,60335.2303642655,56543.9265756191,112661,13546.3898374344,70090.3164130535,6.3,53.6,50.2,19.3
"25",2011-02-01,"Tarapacá",1,3907.63643736513,91996.3040721335,88088.6676347684,116259,8373.97960889465,96462.647243663,4.2,79.1,75.8,8.7
"26",2011-02-01,"Tarapacá",2,3420.67546416795,60791.2530261077,57370.5775619397,112921,13996.7320596684,71367.3096216081,5.6,53.8,50.8,19.6
"27",2011-03-01,"Tarapacá",1,4232.09240067091,91543.5701463046,87311.4777456337,116499,7359.37885058774,94670.8565962215,4.6,78.6,74.9,7.8
"28",2011-03-01,"Tarapacá",2,3439.89880058938,61064.3903283651,57624.4915277757,113173,13544.6608531915,71169.1523809671,5.6,54,50.9,19
"29",2011-04-01,"Tarapacá",1,3910.23679476703,91599.1713065106,87688.9345117436,116748,6580.99546516589,94269.9299769095,4.3,78.5,75.1,7
"30",2011-04-01,"Tarapacá",2,3409.78979986681,63150.2823007141,59740.4925008473,113425,11126.4279507853,70866.9204516326,5.4,55.7,52.7,15.7
"31",2011-05-01,"Tarapacá",1,4602.97935422498,89878.9494674091,85275.9701131841,116991,7888.94372689243,93164.9138400765,5.1,76.8,72.9,8.5
"32",2011-05-01,"Tarapacá",2,3554.53584454321,63473.3706822288,59918.8348376856,113672,10463.0074968662,70381.8423345518,5.6,55.8,52.7,14.9
"33",2010-02-01,"Antofagasta",1,13581.3532062725,173084.053212977,159502.700006705,218010.00000473,18376.3048461584,177879.004852863,7.8,79.4,73.2,10.3
"34",2010-02-01,"Antofagasta",2,6176.21465669231,99971.0720695057,93794.8574128134,211306,17263.1976550196,111058.055067833,6.2,47.3,44.4,15.5
"35",2010-03-01,"Antofagasta",1,11340.8145057766,170657.569904299,159316.755398522,218321.000005034,16443.8483985062,175760.603797028,6.6,78.2,73,9.4
"36",2010-03-01,"Antofagasta",2,6017.97408895508,98490.2982971031,92472.324208148,211631,15759.3102416322,108231.63444978,6.1,46.5,43.7,14.6
"37",2010-04-01,"Antofagasta",1,10230.0891701914,172255.435174443,162025.346004252,218650.000095473,14407.272871271,176432.618875523,5.9,78.8,74.1,8.2
"38",2010-04-01,"Antofagasta",2,6901.06904507994,97953.5261164605,91052.4570713806,211958,16312.9425664598,107365.39963784,7,46.2,43,15.2
"39",2010-05-01,"Antofagasta",1,9740.16635990918,171367.483538599,161627.31717869,218951.000060213,12856.4597914789,174483.776970169,5.7,78.3,73.8,7.4
"40",2010-05-01,"Antofagasta",2,7335.04056833976,97748.3835514533,90413.3429831135,212286,17462.3742276587,107875.717210772,7.5,46,42.6,16.2
"41",2010-06-01,"Antofagasta",1,9990.80392870868,173162.53921496,163171.735286251,219269.000067615,11627.568475467,174799.303761718,5.8,79,74.4,6.7
"42",2010-06-01,"Antofagasta",2,7559.93841296254,97179.9678291169,89620.0294161544,212623,18541.4708834458,108161.5002996,7.8,45.7,42.1,17.1
"43",2010-07-01,"Antofagasta",1,8595.73494978088,173388.039742568,164792.304792788,219594.000016846,11098.5824875886,175890.887280376,5,79,75,6.3
"44",2010-07-01,"Antofagasta",2,6444.35017305434,94962.0691848257,88517.7190117713,212952,17693.8418874972,106211.560899269,6.8,44.6,41.6,16.7
"45",2010-08-01,"Antofagasta",1,8887.56327985892,174472.009296577,165584.446016718,219903.000000842,12506.5633211057,178091.009337824,5.1,79.3,75.3,7
"46",2010-08-01,"Antofagasta",2,6279.76800630049,96887.8188364311,90608.0508301307,213276,19274.5286170754,109882.579447206,6.5,45.4,42.5,17.5
"47",2010-09-01,"Antofagasta",1,9741.44231552587,176092.196971945,166350.754656419,220211.000000905,13621.0207902613,179971.775446681,5.5,80,75.5,7.6
"48",2010-09-01,"Antofagasta",2,5806.87660985361,100861.923698924,95055.0470890708,213596,18682.502335399,113737.54942447,5.8,47.2,44.5,16.4
"49",2010-10-01,"Antofagasta",1,8603.91251141128,174104.60242586,165500.689914449,220533.000001005,12515.8713140829,178016.561228531,4.9,78.9,75,7
"50",2010-10-01,"Antofagasta",2,6034.85443772241,101012.368058251,94977.5136205288,213942,18919.8200766046,113897.333697133,6,47.2,44.4,16.6
"51",2010-11-01,"Antofagasta",1,9137.08014922452,175370.874576419,166233.794427195,220843.00008663,13012.3991231516,179246.193550346,5.2,79.4,75.3,7.3
"52",2010-11-01,"Antofagasta",2,8487.66699304685,103111.332349244,94623.6653561971,214259,20794.0818399221,115417.747196119,8.2,48.1,44.2,18
"53",2010-12-01,"Antofagasta",1,10262.0273347125,175725.243230724,165463.215896011,221159.000094656,15770.019516588,181233.235412599,5.8,79.5,74.8,8.7
"54",2010-12-01,"Antofagasta",2,8932.95602835277,102586.343751727,93653.3877233741,214596,21504.5865105528,115157.974233927,8.7,47.8,43.6,18.7
"55",2011-01-01,"Antofagasta",1,10603.5162245035,174957.001387798,164353.485163294,221460.000153576,16467.1362145773,180820.621377872,6.1,79,74.2,9.1
"56",2011-01-01,"Antofagasta",2,8813.33825446023,101690.819389554,92877.4811350934,214918,20621.4320357105,113498.913170804,8.7,47.3,43.2,18.2
"57",2011-02-01,"Antofagasta",1,7459.49984500732,172350.139688569,164890.639843562,221772.000311939,12927.9956848477,177818.63552841,4.3,77.7,74.4,7.3
"58",2011-02-01,"Antofagasta",2,6876.33887466727,100426.466056446,93550.1271817787,215248,17329.8632548126,110879.990436591,6.8,46.7,43.5,15.6
"59",2011-03-01,"Antofagasta",1,7769.60196476465,170026.813308074,162257.21134331,222080.000324531,12571.9979998641,174829.209343174,4.6,76.6,73.1,7.2
"60",2011-03-01,"Antofagasta",2,7480.87921185652,99277.7318509845,91796.8526391279,215565,16104.5553267087,107901.407965837,7.5,46.1,42.6,14.9
"61",2011-04-01,"Antofagasta",1,8870.64233845013,171293.527585827,162422.885247377,222399.000218342,12893.1161729578,175316.001420335,5.2,77,73,7.4
"62",2011-04-01,"Antofagasta",2,7252.89072663059,97328.9908929959,90076.1001663653,215897,17692.1686541522,107768.268820518,7.5,45.1,41.7,16.4
"63",2011-05-01,"Antofagasta",1,9638.85235148034,172092.942311892,162454.089960412,222709.000299841,13368.697878593,175822.787839005,5.6,77.3,72.9,7.6
"64",2011-05-01,"Antofagasta",2,6740.88659698605,96313.7520797993,89572.8654828132,216222,16560.2225298137,106133.088012627,7,44.5,41.4,15.6
"65",2010-02-01,"Atacama",1,4067.65123512628,84589.8274510513,80522.176215925,109758,14223.9737922003,94746.1500081253,4.8,77.1,73.4,15
"66",2010-02-01,"Atacama",2,5620.89220980156,49515.1204759261,43894.2282661245,107413,22815.7657551201,66709.9940212446,11.4,46.1,40.9,34.2
"67",2010-03-01,"Atacama",1,4970.85925955981,85403.2463746838,80432.387115124,109860,14375.0215626289,94807.4086777529,5.8,77.7,73.2,15.2
"68",2010-03-01,"Atacama",2,5347.53104880017,48190.4655129957,42842.9344641956,107542,22889.8319988733,65732.7664630689,11.1,44.8,39.8,34.8
"69",2010-04-01,"Atacama",1,4635.68432286621,85909.4599987337,81273.7756758675,109985,13567.7746518816,94841.550327749,5.4,78.1,73.9,14.3
"70",2010-04-01,"Atacama",2,3125.28046326708,46833.2693880943,43707.9889248272,107662,21048.3870580863,64756.3759829136,6.7,43.5,40.6,32.5
"71",2010-05-01,"Atacama",1,4914.08333378824,86782.7524684517,81868.6691346635,110114,12906.2070042307,94774.8761388941,5.7,78.8,74.3,13.6
"72",2010-05-01,"Atacama",2,3497.76240168336,46953.7619000568,43455.9994983735,107786,21204.0041929695,64660.003691343,7.4,43.6,40.3,32.8
"73",2010-06-01,"Atacama",1,3536.1743412989,86943.741066637,83407.5667253381,110231,11753.7857135359,95161.352438874,4.1,78.9,75.7,12.4
"74",2010-06-01,"Atacama",2,3323.14555580806,46582.4373289136,43259.2917731056,107900,19987.4555122419,63246.7472853475,7.1,43.2,40.1,31.6
"75",2010-07-01,"Atacama",1,3362.56423524267,84461.016530035,81098.4522947923,110351,12430.5765999375,93529.0288947298,4,76.5,73.5,13.3
"76",2010-07-01,"Atacama",2,3627.9993464756,46899.8795848211,43271.8802383455,108017,20349.5217654383,63621.4020037838,7.7,43.4,40.1,32
"77",2010-08-01,"Atacama",1,3530.69583704609,85070.9861065415,81540.2902694954,110478,11897.1700147908,93437.4602842862,4.2,77,73.8,12.7
"78",2010-08-01,"Atacama",2,3098.78923014023,47377.3884107167,44278.5991805765,108132,19820.3058045707,64098.9049851472,6.5,43.8,40.9,30.9
"79",2010-09-01,"Atacama",1,5160.50673430801,84280.0685062367,79119.5617719287,110591,13262.2875481944,92381.8493201231,6.1,76.2,71.5,14.4
"80",2010-09-01,"Atacama",2,3103.40024538692,48641.6243175699,45538.224072183,108249,19956.608832385,65494.832904568,6.4,44.9,42.1,30.5
"81",2010-10-01,"Atacama",1,5470.76678309089,86393.4583556015,80922.6915725106,110699,11807.0240098462,92729.7155823569,6.3,78,73.1,12.7
"82",2010-10-01,"Atacama",2,2802.8953319387,48494.3167156608,45691.4213837221,108360,17616.9575452154,63308.3789289375,5.8,44.8,42.2,27.8
"83",2010-11-01,"Atacama",1,5205.24953370704,84390.3616150618,79185.1120813548,110804,12246.6907125075,91431.8027938623,6.2,76.2,71.5,13.4
"84",2010-11-01,"Atacama",2,3499.96043966823,50340.826756652,46840.8663169838,108470,15097.2971446748,61938.1634616585,7,46.4,43.2,24.4
"85",2010-12-01,"Atacama",1,3921.22235234022,84358.2977449665,80437.0753926263,110924,10956.5412045788,91393.6165972051,4.6,76.1,72.5,12
"86",2010-12-01,"Atacama",2,2934.54272663272,49518.8959181048,46584.3531914721,108593,14288.0105321683,60872.3637236404,5.9,45.6,42.9,23.5
"87",2011-01-01,"Atacama",1,4379.77950761356,85314.0468624194,80934.2673548058,111030,11939.0077796767,92873.2751344825,5.1,76.8,72.9,12.9
"88",2011-01-01,"Atacama",2,3226.14763149375,49616.623100493,46390.4754689993,108690,15220.0098239327,61610.485292932,6.5,45.6,42.7,24.7
"89",2011-02-01,"Atacama",1,4319.51316198152,85831.5976779807,81512.0845159992,111148,11867.9894835201,93380.0739995192,5,77.2,73.3,12.7
"90",2011-02-01,"Atacama",2,3135.50694368104,48449.4088243373,45313.9018806563,108815,16759.6849804969,62073.5868611532,6.5,44.5,41.6,27
"91",2011-03-01,"Atacama",1,3363.33257832425,85507.3789397401,82144.0463614159,111256,11323.8910983889,93467.9374598047,3.9,76.9,73.8,12.1
"92",2011-03-01,"Atacama",2,3652.39715321055,46938.3439791943,43285.9468259837,108925,18005.1052765858,61291.0521025695,7.8,43.1,39.7,29.4
"93",2011-04-01,"Atacama",1,3333.85998940499,85662.5673273299,82328.7073379249,111367,10798.416717643,93127.1240555679,3.9,76.9,73.9,11.6
"94",2011-04-01,"Atacama",2,3502.02727612573,48087.286169026,44585.2588929003,109041,17934.1733835305,62519.4322764307,7.3,44.1,40.9,28.7
